"B0 (uT)","kdN (1/s)","kaH (1/s)","[Ir]/[L]","[Ir]/[H2]","runtime (ms)","dt (ms)","polarization (%)"
-5,16,2,0.05,0,60000,2.5,0.936697763
-4.9,16,2,0.05,0,60000,2.5,0.984404683
-4.8,16,2,0.05,0,60000,2.5,1.035210374
-4.7,16,2,0.05,0,60000,2.5,1.089346849
-4.6,16,2,0.05,0,60000,2.5,1.147064857
-4.5,16,2,0.05,0,60000,2.5,1.208635214
-4.4,16,2,0.05,0,60000,2.5,1.27435017
-4.3,16,2,0.05,0,60000,2.5,1.344524791
-4.2,16,2,0.05,0,60000,2.5,1.419498317
-4.1,16,2,0.05,0,60000,2.5,1.499635471
-4,16,2,0.05,0,60000,2.5,1.585327662
-3.9,16,2,0.05,0,60000,2.5,1.676993993
-3.8,16,2,0.05,0,60000,2.5,1.77508203
-3.7,16,2,0.05,0,60000,2.5,1.880068177
-3.6,16,2,0.05,0,60000,2.5,1.99245755
-3.5,16,2,0.05,0,60000,2.5,2.11278316
-3.4,16,2,0.05,0,60000,2.5,2.241604205
-3.3,16,2,0.05,0,60000,2.5,2.379503211
-3.2,16,2,0.05,0,60000,2.5,2.527081721
-3.1,16,2,0.05,0,60000,2.5,2.684954159
-3,16,2,0.05,0,60000,2.5,2.853739459
-2.9,16,2,0.05,0,60000,2.5,3.034049973
-2.8,16,2,0.05,0,60000,2.5,3.226477091
-2.7,16,2,0.05,0,60000,2.5,3.43157298
-2.6,16,2,0.05,0,60000,2.5,3.649827742
-2.5,16,2,0.05,0,60000,2.5,3.881641247
-2.4,16,2,0.05,0,60000,2.5,4.127288784
-2.3,16,2,0.05,0,60000,2.5,4.386879527
-2.2,16,2,0.05,0,60000,2.5,4.660306558
-2.1,16,2,0.05,0,60000,2.5,4.947186715
-2,16,2,0.05,0,60000,2.5,5.246787749
-1.9,16,2,0.05,0,60000,2.5,5.557939011
-1.8,16,2,0.05,0,60000,2.5,5.87892004
-1.7,16,2,0.05,0,60000,2.5,6.20731901
-1.6,16,2,0.05,0,60000,2.5,6.539850453
-1.5,16,2,0.05,0,60000,2.5,6.87212002
-1.4,16,2,0.05,0,60000,2.5,7.19832538
-1.3,16,2,0.05,0,60000,2.5,7.510889843
-1.2,16,2,0.05,0,60000,2.5,7.800043002
-1.1,16,2,0.05,0,60000,2.5,8.053394061
-1,16,2,0.05,0,60000,2.5,8.255589305
-0.9,16,2,0.05,0,60000,2.5,8.388198208
-0.8,16,2,0.05,0,60000,2.5,8.430007936
-0.7,16,2,0.05,0,60000,2.5,8.35784981
-0.6,16,2,0.05,0,60000,2.5,8.147726818
-0.5,16,2,0.05,0,60000,2.5,7.774787818
-0.4,16,2,0.05,0,60000,2.5,7.207094358
-0.3,16,2,0.05,0,60000,2.5,6.378933569
-0.2,16,2,0.05,0,60000,2.5,5.116157704
-0.1,16,2,0.05,0,60000,2.5,3.049278099
0,16,2,0.05,0,60000,2.5,1.59e-15
0.1,16,2,0.05,0,60000,2.5,-3.049278099
0.2,16,2,0.05,0,60000,2.5,-5.116157704
0.3,16,2,0.05,0,60000,2.5,-6.378933569
0.4,16,2,0.05,0,60000,2.5,-7.207094358
0.5,16,2,0.05,0,60000,2.5,-7.774787818
0.6,16,2,0.05,0,60000,2.5,-8.147726818
0.7,16,2,0.05,0,60000,2.5,-8.35784981
0.8,16,2,0.05,0,60000,2.5,-8.430007936
0.9,16,2,0.05,0,60000,2.5,-8.388198208
1,16,2,0.05,0,60000,2.5,-8.255589305
1.1,16,2,0.05,0,60000,2.5,-8.053394061
1.2,16,2,0.05,0,60000,2.5,-7.800043002
1.3,16,2,0.05,0,60000,2.5,-7.510889843
1.4,16,2,0.05,0,60000,2.5,-7.19832538
1.5,16,2,0.05,0,60000,2.5,-6.87212002
1.6,16,2,0.05,0,60000,2.5,-6.539850453
1.7,16,2,0.05,0,60000,2.5,-6.20731901
1.8,16,2,0.05,0,60000,2.5,-5.87892004
1.9,16,2,0.05,0,60000,2.5,-5.557939011
2,16,2,0.05,0,60000,2.5,-5.246787749
2.1,16,2,0.05,0,60000,2.5,-4.947186715
2.2,16,2,0.05,0,60000,2.5,-4.660306558
2.3,16,2,0.05,0,60000,2.5,-4.386879527
2.4,16,2,0.05,0,60000,2.5,-4.127288784
2.5,16,2,0.05,0,60000,2.5,-3.881641247
2.6,16,2,0.05,0,60000,2.5,-3.649827742
2.7,16,2,0.05,0,60000,2.5,-3.43157298
2.8,16,2,0.05,0,60000,2.5,-3.226477091
2.9,16,2,0.05,0,60000,2.5,-3.034049973
3,16,2,0.05,0,60000,2.5,-2.853739459
3.1,16,2,0.05,0,60000,2.5,-2.684954159
3.2,16,2,0.05,0,60000,2.5,-2.527081721
3.3,16,2,0.05,0,60000,2.5,-2.379503211
3.4,16,2,0.05,0,60000,2.5,-2.241604205
3.5,16,2,0.05,0,60000,2.5,-2.11278316
3.6,16,2,0.05,0,60000,2.5,-1.99245755
3.7,16,2,0.05,0,60000,2.5,-1.880068177
3.8,16,2,0.05,0,60000,2.5,-1.77508203
3.9,16,2,0.05,0,60000,2.5,-1.676993993
4,16,2,0.05,0,60000,2.5,-1.585327662
4.1,16,2,0.05,0,60000,2.5,-1.499635471
4.2,16,2,0.05,0,60000,2.5,-1.419498317
4.3,16,2,0.05,0,60000,2.5,-1.344524791
4.4,16,2,0.05,0,60000,2.5,-1.27435017
4.5,16,2,0.05,0,60000,2.5,-1.208635214
4.6,16,2,0.05,0,60000,2.5,-1.147064857
4.7,16,2,0.05,0,60000,2.5,-1.089346849
